office_id,source_name,kprk_id,ordinal,slug
94652,Kasiguncu,94000,503,kasiguncu-94652
94666,Beteleme,94000,504,beteleme-94666
94671,Kolonedale,94000,505,kolonedale-94671
94683,Ampana,94000,506,ampana-94683
94700,Luwuk,94700,507,luwuk-94700
94785,Salakan,94700,508,salakan-94785
94791,Banggai,94700,509,banggai-94791
95000,Manado,95000,510,manado-95000
95354,Amurang,95000,511,amurang-95354
95371,Airmadidi,95000,512,airmadidi-95371
95400,Tomohon,95000,513,tomohon-95400
95500,Bitung,95000,514,bitung-95500
95683,Eris,95000,515,eris-95683
95697,Belang,95000,516,belang-95697
95700,Kotamobagu,95700,517,kotamobagu-95700
95763,Bintauna,95700,518,bintauna-95763
95764,Bolaangitang,95700,519,bolaangitang-95764
95774,Molibagu,95700,520,molibagu-95774
95781,Modayag,95700,521,modayag-95781
95800,Tahuna,95000,522,tahuna-95800
95853,Manganitu,95000,523,manganitu-95853
95855,Tamako,95000,524,tamako-95855
95861,Ulusiau,95000,525,ulusiau-95861
95862,Ondong,95000,526,ondong-95862
95863,Tagulandang,95000,527,tagulandang-95863
95881,Beo,95000,528,beo-95881
96100,Gorontalo,96100,529,gorontalo-96100
96184,Suwawa,96100,530,suwawa-96184
96253,Atinggola,96100,531,atinggola-96253
96261,Paguyaman,96100,532,paguyaman-96261
96267,Lemito,96100,533,lemito-96267
96271,Batudaa,96100,534,batudaa-96271
97000,Ambon,97000,535,ambon-97000
97552,Amahai,97000,536,amahai-97552
97555,Bula,97000,537,bula-97555
97566,Kairatu,97000,538,kairatu-97566
97572,Airbuaya,97000,539,airbuaya-97572
97573,Leksula,97000,540,leksula-97573
97600,Tual,97600,541,tual-97600
97661,Elat,97600,542,elat-97661
97662,Dobo,97600,543,dobo-97662
97663,Larat,97600,544,larat-97663
97700,Ternate,97700,545,ternate-97700
97752,Jailolo,97700,546,jailolo-97752
97761,Galela,97700,547,galela-97761
97771,Morotai,97700,548,morotai-97771
97791,Labuha,97700,549,labuha-97791
97796,Mangole,97700,550,mangole-97796
97852,Payahe,97700,551,payahe-97852
97855,Gebe,97700,552,gebe-97855
97862,Maba,97700,553,maba-97862
98100,Biak,98100,554,biak-98100
98152,Bosnik,98100,555,bosnik-98152
98171,Yemburwo,98100,556,yemburwo-98171
98200,Serui,98100,557,serui-98200
98261,Waren,98100,558,waren-98261
98300,Manokwari,98300,559,manokwari-98300
98352,Warmare,98300,560,warmare-98352
98353,Oransbari,98300,561,oransbari-98353
98355,Ransiki,98300,562,ransiki-98355
98356,Prafi,98300,563,prafi-98356
98362,Wasior,98300,564,wasior-98362
98363,Babo,98300,565,babo-98363
98364,Bintuni,98300,566,bintuni-98364
98400,Sorong,98400,567,sorong-98400
98418,Aimas,98400,568,aimas-98418
98451,Sorongdoom,98400,569,sorongdoom-98451
98454,Teminabuan,98400,570,teminabuan-98454
98481B1,Rajaampat (Ba),98400,571,rajaampat-ba-98481b1
98600,Fakfak,98400,572,fakfak-98600
98654,Kaimana,98400,573,kaimana-98654
98700,Enarotali,98800,574,enarotali-98700
98784B1,Waghete,98800,575,waghete-98784b1
98800,Nabire,98800,576,nabire-98800
98842B1,Makimi,98800,577,makimi-98842b1
98862,Moanemani,98800,578,moanemani-98862
98900,Mulia,98800,579,mulia-98900
99000,Jayapura,99000,580,jayapura-99000
99047B1,Yahukimo,99000,581,yahukimo-99047b1
99353,Depapre,99000,582,depapre-99353
99354,Demta,99000,583,demta-99354
99361,Genyem,99000,584,genyem-99361
99364,Lereh,99000,585,lereh-99364
99368,Arso,99000,586,arso-99368
99373,Sarmi,99000,587,sarmi-99373
99500,Wamena,99000,588,wamena-99500
99531B1,Tiom,99000,589,tiom-99531b1
99573B1,Pegununganbintang,99000,590,pegununganbintang-99573b1
99600,Merauke,99600,591,merauke-99600
99653,Bade,99600,592,bade-99653
99655,Kimaam,99600,593,kimaam-99655
99656,Kurik,99600,594,kurik-99656
99661B1,Asiki,99600,595,asiki-99661b1
99662,Mindiptana,99600,596,mindiptana-99662
99663,Tanahmerah,99600,597,tanahmerah-99663
99671,Kepi,99600,598,kepi-99671
99677,Agats,99600,599,agats-99677
99692B1,Tanahmiring,99600,600,tanahmiring-99692b1
99900,Timika,99900,601,timika-99900
99920,Kualakencana,99900,602,kualakencana-99920
99930,Tembagapura,99900,603,tembagapura-99930
